Fecha;Temperatura_Abrigo_150cm;Humedad_Media;Presion_Media;Radiacion_Global
2022-08-28 00:00:00.0;12.51389;59;1021.581;16.29384
2022-08-29 00:00:00.0;9.638886;74;1020.724;16.44084
2022-08-30 00:00:00.0;12.89722;79;1011.583;12.72042
2022-08-31 00:00:00.0;19.67083;73;1002.755;15.51366
2022-09-01 00:00:00.0;18.45764;98;1000.098;2.07762
2022-09-02 00:00:00.0;16.0;84;1011.857;16.67856
2022-09-03 00:00:00.0;11.91458;71;1016.827;17.94786
2022-09-04 00:00:00.0;12.96528;64;1014.92;18.27144
2022-09-05 00:00:00.0;13.15694;67;1013.131;17.39376
2022-09-06 00:00:00.0;15.075;67;1007.298;18.12114
2022-09-07 00:00:00.0;19.45208;58;997.3419;18.22728
2022-09-08 00:00:00.0;21.02083;74;993.092;12.58632
2022-09-09 00:00:00.0;15.28542;66;1007.533;17.2695
2022-09-10 00:00:00.0;11.93472;58;1013.204;19.12374
2022-09-11 00:00:00.0;13.73542;63;1008.048;16.64856
2022-09-12 00:00:00.0;13.84444;65;1005.849;19.06674
2022-09-13 00:00:00.0;14.23611;66;1007.449;18.7857
2022-09-14 00:00:00.0;16.23056;68;1012.646;18.70482
2022-09-15 00:00:00.0;16.65903;67;1011.342;19.08228
2022-09-16 00:00:00.0;18.93055;65;1007.118;18.69948
2022-09-17 00:00:00.0;21.35486;62;1001.696;18.18108
2022-09-18 00:00:00.0;21.13958;72;998.0287;10.4238
2022-09-19 00:00:00.0;17.41736;93;1003.789;13.68516
2022-09-20 00:00:00.0;17.04722;89;1004.421;8.591579
2022-09-21 00:00:00.0;16.23472;98;1004.439;7.0278
2022-09-22 00:00:00.0;14.15417;71;1009.516;20.20506
2022-09-23 00:00:00.0;15.56944;60;1008.61;20.97809
2022-09-24 00:00:00.0;17.2125;62;1005.984;20.83038
2022-09-25 00:00:00.0;17.31249;70;1002.972;19.91856
2022-09-26 00:00:00.0;19.25764;63;1003.726;20.90659
2022-09-27 00:00:00.0;19.31944;63;1007.602;17.13492
2022-09-28 00:00:00.0;19.17778;60;1012.901;13.55442
2022-09-29 00:00:00.0;17.93263;67;1010.977;21.14412
2022-09-30 00:00:00.0;17.84514;71;1008.912;21.33671
2022-10-01 00:00:00.0;19.11736;68;1008.997;21.93102
2022-10-02 00:00:00.0;19.48472;63;1010.165;22.251
2022-10-03 00:00:00.0;20.39931;60;1006.528;22.07772
2022-10-04 00:00:00.0;20.1132;54;1001.011;22.67214
2022-10-05 00:00:00.0;21.67361;61;996.8132;20.4036
2022-10-06 00:00:00.0;17.7639;92;999.5676;4.65918
2022-10-07 00:00:00.0;20.07569;64;999.9741;22.557
2022-10-08 00:00:00.0;20.73958;44;999.7068;20.34168
2022-10-09 00:00:00.0;14.96737;50;1011.469;22.01154
2022-10-10 00:00:00.0;14.64653;55;1009.772;19.03554
2022-10-11 00:00:00.0;16.79305;58;1006.706;23.48454
2022-10-12 00:00:00.0;18.96041;48;1003.779;23.73534
2022-10-13 00:00:00.0;20.91042;55;1005.86;22.20726
2022-10-14 00:00:00.0;18.56805;52;1012.172;21.31908
2022-10-15 00:00:00.0;20.72153;66;1011.088;20.49306
2022-10-16 00:00:00.0;20.86458;66;1008.319;23.18856
2022-10-17 00:00:00.0;18.09861;80;1008.661;11.5323
2022-10-18 00:00:00.0;20.09861;74;1006.579;17.54436
2022-10-19 00:00:00.0;20.36875;90;1002.37;8.20098
2022-10-20 00:00:00.0;22.04306;86;998.8409;18.5673
2022-10-21 00:00:00.0;22.48333;74;1000.104;24.0696
2022-10-22 00:00:00.0;20.50625;85;1006.872;14.83711
2022-10-23 00:00:00.0;18.65208;70;1007.974;22.47055
2022-10-24 00:00:00.0;23.75278;59;1003.773;24.34093
2022-10-25 00:00:00.0;26.99167;49;997.2103;24.61626
2022-10-26 00:00:00.0;23.14584;85;995.5843;12.41238
2022-10-27 00:00:00.0;22.36458;65;1001.241;25.77984
2022-10-28 00:00:00.0;24.70694;57;997.0032;25.99715
2022-10-29 00:00:00.0;29.24167;59;990.0125;24.156
2022-10-30 00:00:00.0;23.2632;71;994.8356;4.760459
2022-10-31 00:00:00.0;16.03056;53;1016.674;22.74533
2022-11-01 00:00:00.0;14.59305;53;1021.002;26.94227
2022-11-02 00:00:00.0;17.87222;51;1018.5;26.84346
2022-11-03 00:00:00.0;20.40764;52;1014.006;26.88324
2022-11-04 00:00:00.0;22.08472;54;1009.596;26.03592
2022-11-05 00:00:00.0;21.69653;58;1007.367;27.09786
2022-11-06 00:00:00.0;22.64375;57;1007.499;25.89211
2022-11-07 00:00:00.0;23.84375;52;1007.588;26.77698
2022-11-08 00:00:00.0;22.62362;54;1005.795;27.55704
2022-11-09 00:00:00.0;23.48472;54;1001.098;25.36758
2022-11-10 00:00:00.0;22.11875;80;999.8508;5.2425
2022-11-11 00:00:00.0;24.60278;62;998.588;25.596
2022-11-12 00:00:00.0;25.85278;68;995.9232;18.94566
2022-11-13 00:00:00.0;23.85417;84;995.448;15.05292
2022-11-14 00:00:00.0;23.03542;52;1000.636;27.92501
2022-11-15 00:00:00.0;26.23819;42;1004.008;27.79182
2022-11-16 00:00:00.0;28.90209;38;1004.413;27.8895
2022-11-17 00:00:00.0;29.01597;43;1002.713;27.7404
2022-11-18 00:00:00.0;29.26388;42;999.2435;27.46337
2022-11-19 00:00:00.0;31.44931;38;995.9293;26.52558
2022-11-20 00:00:00.0;26.79375;76;997.2379;3.6906
2022-11-21 00:00:00.0;20.6007;96;1002.207;6.14796
2022-11-22 00:00:00.0;20.51667;64;1004.387;28.38708
2022-11-23 00:00:00.0;23.54306;52;1002.15;27.91595
2022-11-24 00:00:00.0;27.61528;43;1002.131;27.86454
2022-11-25 00:00:00.0;29.76597;44;1004.612;27.6159
2022-11-26 00:00:00.0;31.12292;44;1004.238;27.11357
2022-11-27 00:00:00.0;29.55486;50;1002.791;27.92232
2022-11-28 00:00:00.0;30.84931;53;998.1602;28.14042
2022-11-29 00:00:00.0;30.24445;47;993.9739;28.16173
2022-11-30 00:00:00.0;29.93055;57;992.3;22.13358
2022-12-01 00:00:00.0;26.2993;73;997.5623;22.16544
2022-12-02 00:00:00.0;25.3243;62;1001.055;27.24102
2022-12-03 00:00:00.0;26.85069;57;998.576;28.26727
2022-12-04 00:00:00.0;28.54722;58;998.1829;27.21768
2022-12-05 00:00:00.0;29.83472;51;998.6546;28.55634
2022-12-06 00:00:00.0;31.76318;51;998.4353;28.33308
2022-12-07 00:00:00.0;33.77987;44;995.8251;25.31334
2022-12-08 00:00:00.0;31.54306;57;993.8245;21.22789
2022-12-09 00:00:00.0;33.78958;52;992.0618;24.50676
2022-12-10 00:00:00.0;27.19028;95;998.6024;8.127421
2022-12-11 00:00:00.0;30.43889;72;995.7565;27.35502
2022-12-12 00:00:00.0;31.19654;64;994.3754;25.96194
2022-12-13 00:00:00.0;26.63333;51;999.4552;29.49366
2022-12-14 00:00:00.0;27.97292;50;997.6338;28.99374
2022-12-15 00:00:00.0;26.70903;61;1000.774;16.4538
2022-12-16 00:00:00.0;26.70208;46;1002.101;29.16966
2022-12-17 00:00:00.0;23.16181;53;1000.02;14.94444
2022-12-18 00:00:00.0;25.15208;53;1000.628;24.53909
2022-12-19 00:00:00.0;27.64861;53;1000.893;28.05828
2022-12-20 00:00:00.0;29.64791;48;1000.758;28.52466
2022-12-21 00:00:00.0;29.67361;50;999.9756;28.32522
2022-12-22 00:00:00.0;31.08681;47;997.2377;25.61101
2022-12-23 00:00:00.0;29.68611;63;996.3918;15.3699
2022-12-24 00:00:00.0;26.12153;74;1001.753;18.52056
2022-12-25 00:00:00.0;25.05139;56;1005.158;28.38378
2022-12-26 00:00:00.0;24.57639;48;1003.386;26.41062
2022-12-27 00:00:00.0;23.33056;67;1000.931;13.22484
2022-12-28 00:00:00.0;24.72014;70;1001.393;25.0326
2022-12-29 00:00:00.0;27.5007;49;1002.17;26.9304
2022-12-30 00:00:00.0;30.71388;42;998.9102;26.60586
2022-12-31 00:00:00.0;32.98195;36;998.0021;26.72459
2023-01-01 00:00:00.0;29.42778;66;996.2757;13.87152
2023-01-02 00:00:00.0;26.57084;57;999.3898;29.23302
2023-01-03 00:00:00.0;27.75347;39;998.4938;24.84678
2023-01-04 00:00:00.0;28.38333;38;1001.362;28.92348
2023-01-05 00:00:00.0;28.19166;40;1001.337;29.07384
2023-01-06 00:00:00.0;31.16805;37;1001.772;27.59286
2023-01-07 00:00:00.0;32.29931;36;1003.834;28.06495
2023-01-08 00:00:00.0;31.78889;39;1003.293;27.56742
2023-01-09 00:00:00.0;31.75626;36;999.4615;26.3886
2023-01-10 00:00:00.0;32.35;39;997.21;23.69213
